claim_id,canon_location,current_claim,primary_source,primary_lines,supporting_source_or_artifact,declared_epistemic_status,audit_trace_status,audit_scope_note,normalized_epistemic_state,external_validation_state,audit_truth_scope
OMEGA-C001,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:5,La ontología de la potencialidad precede a la ecuación de campo y controla la traducción matemática.,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,1-3,01_CANON_ONTOLOGICO/EXTRACTOS_ONTOLOGICOS_TRAZABLES.csv,regla metodológica canónica,traza interna completa,Es una regla del programa; no es una consecuencia matemática ni un observable.,REGLA_METODOLOGICA_NORMATIVA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C002,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:9-11,Existe continuidad fundamental sin ruptura ontológica finita.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,3-33,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/02_PRUEBAS_NUMERICAS/TEST_03_POSITIVIDAD_CONTINUIDAD.csv,hipótesis ontológica con consecuencia matemática condicional,traza interna completa,El teorema prueba positividad finita si R es positiva continua y composable; no prueba que toda continuidad física satisfaga esas premisas.,HIPOTESIS_ONTOLOGICA_CON_TEOREMA_CONDICIONAL,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C003,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:15-19,Potencialidad es accesibilidad/estructura de continuaciones compatibles y no energía probabilidad ni dimensión de Hilbert por definición.,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,31-42,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md:3-15,canónica provisional/definicional,traza interna completa,Es definición axiomática reconstruida; su fecundidad física requiere validación externa posterior.,DEFINICION_CANONICA_PROVISIONAL,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C004,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:23,El tiempo no es sustancia fundamental; primero hay orden de continuación y los relojes miden tasas de actualización.,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,85-94,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,apoyada estructuralmente/no unificada,traza interna completa,El propio canon declara que no existe una definición que derive simultáneamente tiempo propio Lorentz y gravedad.,APOYO_ESTRUCTURAL_CON_UNIFICACION_NO_DERIVADA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C005,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:25-29,Una respuesta local positiva continua y composable tiene forma R(u)=exp(-su).,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,3-19,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/02_PRUEBAS_NUMERICAS/TEST_01_COMPOSICION.csv,derivada condicionalmente en su aplicación; teorema matemático derivado,traza interna completa,La solución de la ecuación funcional es válida; la identificación universal con respuesta física es una premisa adicional.,TEOREMA_MATEMATICO_DERIVADO_APLICACION_FISICA_CONDICIONAL,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C006,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:33-39,La inclusión estricta de historia causal impide todo retorno ontológico no vacío.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/01_DOCUMENTOS/05_TEOREMA_NO_RETORNO.md,3-11,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/02_PRUEBAS_NUMERICAS/TEST_01_INCLUSION_ESTRICTA_HISTORIA.csv,derivada condicionalmente,traza interna completa,La conclusión depende de aceptar que toda actualización no vacía amplía estrictamente H.,TEOREMA_CONDICIONAL_SOBRE_PREMISA_DE_HISTORIA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C007,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:43,Identidad es una genealogía/estructura de realizaciones y no igualdad de configuración.,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,61-72,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md:41-52,canónica provisional/definicional,traza interna completa,Definición ontológica; los modelos físicos asociados permanecen de juguete según la matriz canónica.,DEFINICION_CANONICA_PROVISIONAL,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C008,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:47-54,La respuesta admite s_e=s_0+delta s_e; el modo común reescala y los relativos deforman proporciones.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,3-44,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/02_PRUEBAS_NUMERICAS/TEST_02_MODO_COMUN.csv,derivada algebraicamente y verificada numéricamente en el modelo,traza interna completa,La descomposición tiene libertad de referencia; fijar la media requiere una medida primitiva.,DERIVACION_ALGEBRAICA_Y_VERIFICACION_NUMERICA_EN_MODELO,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C009,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:56,El modo común puede interpretarse gravitatoriamente.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-7,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,apoyada estructuralmente,traza interna completa,No hay derivación de gravedad física ni comparación observacional directa.,APOYO_ESTRUCTURAL_SIN_DERIVACION_FISICA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
OMEGA-C010,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md:56,Los modos relativos pueden corresponder a interacciones gauge.,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,3-7,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md:3-9,hipótesis exploratoria,traza interna completa,El sector abeliano de juguete no está unido al campo universal ni fija el acoplamiento.,HIPOTESIS_EXPLORATORIA_NO_DERIVADA,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA,TRAZABILIDAD_INTERNA_Y_REPRODUCCION_DISPONIBLE; NO_CERTIFICACION_FISICA
