negative_id,category,status,source_path,evidence,description,impact,retention
REP-001,dependencia,confirmado,Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,logs/PYU-0002_stderr.txt,La ejecución declarada requiere sympy y el entorno no lo contiene.,No se reprodujo la factorización simbólica con la dependencia declarada; sólo un control numérico sustituto de 21 coeficientes en tres asignaciones.,conservar
REP-002,dependencia,confirmado,reproducir_entrega_16.py,logs/PYU-0023_stderr.txt,La ejecución declarada requiere networkx y el entorno no lo contiene.,El ejemplo fue reproducido sólo mediante un sustituto local limitado a las tres operaciones usadas.,conservar
REP-003,dependencia,confirmado,reproducir_entrega_01.py,logs/PYU-0028_stderr.txt,DataFrame.to_markdown requiere la dependencia opcional tabulate y el entorno no la contiene.,La primera pasada se interrumpe después de producir once artefactos; un sustituto local permite completar la ruta adaptada.,conservar
REP-004,entorno,confirmado,conjunto de código Python,entorno_reproduccion.json,No existe requirements.txt pyproject.toml environment.yml ni archivo equivalente que fije las dependencias.,La reproducibilidad nativa depende de reconstruir manualmente el entorno.,conservar
REP-005,rutas absolutas,confirmado,reproducir_entrega_01.py y dos solvers Geometry Omega,ejecuciones_codigo_unico.csv,Se codifican rutas absolutas bajo /mnt/data.,La reproducción segura exigió redirección literal documentada dentro de un directorio temporal.,conservar
REP-006,ruta ausente,confirmado,reproducir_entrega_01.py,logs/RETRY-DELIVERY01_stderr.txt,El script intenta copiar /tmp/make_omega_delivery1.py que no está incluido con ese nombre.,La reproducción completa exigió redirigir esa referencia a la copia exacta del propio script fuente.,conservar
REP-007,advertencia de sintaxis,confirmado,reproducir_entrega_01.py,logs/PYU-0028_stderr.txt,Cuatro secuencias LaTeX no válidas como escapes Python producen SyntaxWarning.,No impiden compilar ni calcular pero son una fuente de corrupción futura del texto generado.,conservar
REP-008,código no ejecutable,confirmado,Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,ejecuciones_codigo_unico.csv,El archivo contiene sólo una cadena documental y ninguna lógica ejecutable.,Los CSV asociados no pueden regenerarse desde este archivo.,conservar
REP-009,código no ejecutable,confirmado,einstein_omega_solver.py,ejecuciones_codigo_unico.csv,El archivo contiene únicamente comentarios de ecuaciones y ninguna lógica ejecutable.,Los resultados asociados no pueden regenerarse desde este archivo.,conservar
REP-010,entrada ausente o incompleta,confirmado,Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,logs/PYU-0016_stderr.txt,La ejecución directa termina deliberadamente y exige un fondo cargado completo suministrado por el usuario.,La interfaz compila pero no hay una reproducción end-to-end con los datos incluidos.,conservar
REP-011,control numérico,limitación,Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,logs/PYU-0010_stdout.txt,El BVP converge con residuo absoluto 1.097548762e-09 pero el cociente relativo impreso es 3.6361483.,El valor absoluto coincide con el orden 10^-9 declarado; la normalización relativa es desfavorable porque su denominador también es casi nulo y no debe omitirse.,conservar
REP-012,artefacto sin referencia,confirmado,Geometry_Omega_background_continuation_solver_2026-07-31.py,artefactos_reproducidos/BACKGROUND_SOLVER_SEGUNDA_PASADA/omega_background_final_profile.csv,El solver genera un perfil final de 1600 filas para el que no hay un archivo de referencia homónimo en el paquete.,El artefacto queda preservado pero no admite comparación directa byte a byte con el canon.,conservar
REP-013,diferencia adaptada,confirmado,reproducir_entrega_01.py,comparacion_entrega01_reintento.csv,El Markdown de resultados difiere por el formateador tabular sustituto y el manifiesto refleja esa diferencia además del orden de recorrido.,Los cálculos y dieciséis artefactos son exactos; estas dos diferencias no se presentan como reproducción nativa exacta.,conservar
REP-014,cobertura de regeneración,confirmado,667 datasets inventariados,verificacion_datasets.csv,La mayoría de los datasets no incluye un script productor unívoco y ejecutable dentro de su paquete.,Su estructura y estadística fueron verificadas pero no todos pueden regenerarse desde cero.,conservar
