coverage_id,record_scope,relative_path,extension,size_bytes,sha256,inventory_and_preservation,container_or_manifest_integrity,format_processing,content_specific_check,traceability_check,epistemic_classification_check,visual_review_check,code_reproduction_check,negative_or_limitation_notes,applicable_checks_complete,coverage_state
COV-00001,physical_outer_member,00_INICIO/00_LEEME_PRIMERO.md,.md,1578,471f79a440b5ba598dce64a1d612f214aa324180d31ff48a458da4010461cb23,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=12,equation_catalog_occurrences_verified=0,claim_candidates_classified=7,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00002,physical_outer_member,01_CANON_ONTOLOGICO/01_CANON_ONTOLOGICO_VIGENTE.md,.md,3886,a66c56bf789071d708eea49cfcc9f6cb0388075c104b48b6d859d498814bffb2,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=41,equation_catalog_occurrences_verified=0,claim_candidates_classified=23,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00003,physical_outer_member,01_CANON_ONTOLOGICO/EXTRACTOS_ONTOLOGICOS_TRAZABLES.csv,.csv,782512,1de38a4631fa6f744b88ca2a7b159622a3c068d1e48fca0dd02c22dce5d9d5a4,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00004,physical_outer_member,02_FORMALISMO_MATEMATICO/00_MAPA_FORMALISMO.md,.md,1536,4cd868e37e424d85043e4e9848f2c1d1166be71257a7c60ebc110fd81aa20e39,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=36,equation_catalog_occurrences_verified=0,claim_candidates_classified=10,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00005,physical_outer_member,02_FORMALISMO_MATEMATICO/01_INDICE_ECUACIONES.md,.md,119180,4389642c65d14bd93847532aad47cd2ca9f250d996268846db4d5f74f7b27399,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=3,equation_catalog_occurrences_verified=0,claim_candidates_classified=2,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00006,physical_outer_member,02_FORMALISMO_MATEMATICO/CATALOGO_ECUACIONES_UNICAS.csv,.csv,3972382,409346053531d5b1adbfa0bd20f35e7956f5d107eb146e83476982115afee67a,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00007,physical_outer_member,02_FORMALISMO_MATEMATICO/ECUACIONES_TODAS_OCURRENCIAS.csv,.csv,5248268,9bdb228aaf50e0ad2ce5bdb724c2d982a42422f53bd1158df68ab9b1bdbf49e7,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00008,physical_outer_member,03_RESULTADOS_NUMERICOS/00_GUIA_RESULTADOS_NUMERICOS.md,.md,2092,ff2981d7407072621210664ec043d1673d545cd361dcf3adcb168cf6612234a3,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=7,equation_catalog_occurrences_verified=0,claim_candidates_classified=4,NOT_APPLICABLE,NOT_APPLICABLE,control_characters=3,True,COVERED_WITH_NEGATIVE_OR_LIMITATION
COV-00009,physical_outer_member,03_RESULTADOS_NUMERICOS/CATALOGO_DATASETS_NUMERICOS.csv,.csv,525374,96fa0ed61e0d07b969549a58d925250512dec56702aef5f07ace293165da1624,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00010,physical_outer_member,04_AUDITORIA_Y_ESTATUS/01_ESTADOS_EPISTEMOLOGICOS.md,.md,1966,0743a56cc265422abcca3f8acf97f4112642d1c2bb70101460e56d22926414e0,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=7,equation_catalog_occurrences_verified=0,claim_candidates_classified=4,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00011,physical_outer_member,04_AUDITORIA_Y_ESTATUS/02_EVOLUCION_CONCEPTUAL.md,.md,1311,4da736ffd5f24805ae97e99dcdfe339f17f94f206dfab27d33630943c5e00068,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=3,equation_catalog_occurrences_verified=0,claim_candidates_classified=2,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00012,physical_outer_member,04_AUDITORIA_Y_ESTATUS/RESULTADOS_NEGATIVOS_TRAZABLES.csv,.csv,56864,373b414f100725891ade4df74d45dd621f158006fa7493a77b9be1868ace8af0,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00013,physical_outer_member,04_AUDITORIA_Y_ESTATUS/RESUMENES_RESULTADOS_ENTREGAS.csv,.csv,16636,b9773ca322a9fe4bfd6aa685ff1b9433a102b33a73cd790dd62d7a268bc84ea0,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00014,physical_outer_member,04_AUDITORIA_Y_ESTATUS/VEREDICTOS_CONSOLIDADOS.csv,.csv,75055,f6d0fe60a3f458b3b4fd56cad47b98a2e3316319637d3303ec2323833d45ee48,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00015,physical_outer_member,05_PROGRAMA_INVESTIGACION/00_PROGRAMA_ABIERTO.md,.md,1226,3a0d280ab90ff1d4dab5ca3dc6704d2cbf3f984fe6caeecc4d7aee0f082c51be,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=5,equation_catalog_occurrences_verified=0,claim_candidates_classified=2,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00016,physical_outer_member,05_PROGRAMA_INVESTIGACION/01_MAPA_DEPENDENCIAS.md,.md,1570,92142772cce440205e28af1a619f57d672a8646caa12b539ccc8a6f0493bee7f,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=4,equation_catalog_occurrences_verified=0,claim_candidates_classified=1,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00017,physical_outer_member,05_PROGRAMA_INVESTIGACION/DUDAS_ABIERTAS_TRAZABLES.csv,.csv,24792,d8d65723b9acfe83167dc0eb16ca8dc869ff96cb0c48c410243e915516dce270,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00018,physical_outer_member,06_INDICES_Y_MANIFIESTOS/00_INDICE_PAQUETES.md,.md,3600,e228bca0bedc5425140f652b52d27102e80ac417011041b77f578e2b3a8c9cc5,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,markdown_blocks=2,equation_catalog_occurrences_verified=0,claim_candidates_classified=1,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00019,physical_outer_member,06_INDICES_Y_MANIFIESTOS/INDICE_ENCABEZADOS.csv,.csv,3509288,62c6bd46e93e34b47a9689ab5d7d569355d43742a4f53fa057a8a66cdf485d82,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00020,physical_outer_member,06_INDICES_Y_MANIFIESTOS/INVENTARIO_ARCHIVOS_COMPLETO.csv,.csv,590178,6c407438d0a6f73729dde7c0160d11f4bf151c8502e6ad0e3de054c1e524a62d,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
COV-00021,physical_outer_member,06_INDICES_Y_MANIFIESTOS/MANIFIESTO_CANON_MAESTRO.csv,.csv,325260,bf14c99088ca0f02c009a95db7aca436a13bf8b12eb00ae14b590343a2a031a9,COVERED,OUTER_MEMBER_INVENTORIED,COVERED,csv_structurally_parsed_not_in_outer_dataset_catalog,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,True,COVERED
