doubt_id,package,file,line,text,evidence_layer,state,independence_note
D-0001,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/02_FORMALISMO_MATEMATICO/03_CATALOGO_TODAS_ECUACIONES_EXTRAIDAS.md,9910,\[ \boxed{ \text{la pregunta “¿sigue siendo lo mismo?” no tiene respuesta sin especificar la escala de identidad}. } \],AGREGADO_DERIVADO_CATALOGO,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0002,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/08_HISTORIA_Y_EVOLUCION/00_INFORME_MAESTRO_OMEGA_0_90.md,293,"La pregunta ya no es “¿puede Omega reproducir una estructura conocida?”, sino:",DOCUMENTO_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0003,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/MARKDOWN/Geometry_Omega_Costo_Retorno_y_Cambio_Naturaleza_v74_2026-08-02.md,375,\[ \boxed{ \text{la pregunta “¿sigue siendo lo mismo?” no tiene respuesta sin especificar la escala de identidad}. } \],FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0004,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/MARKDOWN/Geometry_Omega_Orientacion_Interna_Cierre_Intercambio_v78_2026-08-02.md,596,La pregunta ya no es “¿existe el espín?”.,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0005,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/MARKDOWN/Geometry_Omega_Tres_Escenarios_Nucleo_Extremo_v58_2026-08-01.md,1129,## Pregunta 1 — ¿Qué se conserva cuando se pierde autonomía?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0006,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/MARKDOWN/Geometry_Omega_Tres_Escenarios_Nucleo_Extremo_v58_2026-08-01.md,1135,## Pregunta 2 — ¿Puede la asfixia aumentar una brecha?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0007,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/MARKDOWN/Geometry_Omega_Tres_Escenarios_Nucleo_Extremo_v58_2026-08-01.md,1167,## Pregunta 3 — ¿La identidad colectiva es una fase o un solo estado?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0008,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/OTROS/OMEGA_CORPUS_COMPLETO_2026-08-01.md,40002,## Pregunta 1 — ¿Qué se conserva cuando se pierde autonomía?,AGREGADO_DERIVADO_CORPUS,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0009,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/OTROS/OMEGA_CORPUS_COMPLETO_2026-08-01.md,40008,## Pregunta 2 — ¿Puede la asfixia aumentar una brecha?,AGREGADO_DERIVADO_CORPUS,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0010,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/10_FUENTES_ORIGINALES/OTROS/OMEGA_CORPUS_COMPLETO_2026-08-01.md,40040,## Pregunta 3 — ¿La identidad colectiva es una fase o un solo estado?,AGREGADO_DERIVADO_CORPUS,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0011,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/01_DOCUMENTOS/05_DUDAS_ONTOLOGICAS.md,3,"## ODG-004 ¿Qué fija la tasa: accesibilidad, costo o ambos?",FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0012,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/01_DOCUMENTOS/05_DUDAS_ONTOLOGICAS.md,6,## ODG-005 ¿La continuidad exige tasa estrictamente positiva o pueden existir componentes ontológicamente separadas?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0013,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/01_DOCUMENTOS/05_DUDAS_ONTOLOGICAS.md,9,## ODG-006 ¿Cómo se deriva la preservación de identidad χ_e sin imponerla?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
D-0014,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/01_DOCUMENTOS/05_DUDAS_ONTOLOGICAS.md,12,## ODG-007 ¿Puede una actualización fundamental tener soporte infinito?,FUENTE_PRIMARIA_DEL_PAQUETE,DUDA_O_PREGUNTA_ABIERTA_DECLARADA,OCURRENCIA; PUEDE_DUPLICAR_AGREGADOS
