claim_id,current_claim,normalized_epistemic_state,equation_ids,archive_primary_source,active_primary_path,archive_supporting_source,active_supporting_path,active_code_paths,result_register,negative_or_limit_register,audit_scope_note,external_validation_state
OMEGA-C001,La ontología de la potencialidad precede a la ecuación de campo y controla la traducción matemática.,REGLA_METODOLOGICA_NORMATIVA,,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,01_CANON_ONTOLOGICO/EXTRACTOS_ONTOLOGICOS_TRAZABLES.csv,,,results/VEREDICTOS_NORMALIZADOS.csv,,Es una regla del programa; no es una consecuencia matemática ni un observable.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C002,Existe continuidad fundamental sin ruptura ontológica finita.,HIPOTESIS_ONTOLOGICA_CON_TEOREMA_CONDICIONAL,OMEGA-E006,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/02_PRUEBAS_NUMERICAS/TEST_03_POSITIVIDAD_CONTINUIDAD.csv,data/primary/delivery_13/TEST_03_POSITIVIDAD_CONTINUIDAD.csv,code/audited-originals/PY-0027__reproducir_entrega_13.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,El teorema prueba positividad finita si R es positiva continua y composable; no prueba que toda continuidad física satisfaga esas premisas.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C003,Potencialidad es accesibilidad/estructura de continuaciones compatibles y no energía probabilidad ni dimensión de Hilbert por definición.,DEFINICION_CANONICA_PROVISIONAL,,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md:3-15,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,,results/VEREDICTOS_NORMALIZADOS.csv,,Es definición axiomática reconstruida; su fecundidad física requiere validación externa posterior.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C004,El tiempo no es sustancia fundamental; primero hay orden de continuación y los relojes miden tasas de actualización.,APOYO_ESTRUCTURAL_CON_UNIFICACION_NO_DERIVADA,OMEGA-E014,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,code/audited-originals/PY-0017__reproducir_entrega_03.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,El propio canon declara que no existe una definición que derive simultáneamente tiempo propio Lorentz y gravedad.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C005,Una respuesta local positiva continua y composable tiene forma R(u)=exp(-su).,TEOREMA_MATEMATICO_DERIVADO_APLICACION_FISICA_CONDICIONAL,OMEGA-E006,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/01_DOCUMENTOS/05_TEOREMA_CARACTER_POSITIVO.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/02_PRUEBAS_NUMERICAS/TEST_01_COMPOSICION.csv,data/primary/delivery_13/TEST_01_COMPOSICION.csv,code/audited-originals/PY-0027__reproducir_entrega_13.py,results/VEREDICTOS_NORMALIZADOS.csv,,La solución de la ecuación funcional es válida; la identificación universal con respuesta física es una premisa adicional.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C006,La inclusión estricta de historia causal impide todo retorno ontológico no vacío.,TEOREMA_CONDICIONAL_SOBRE_PREMISA_DE_HISTORIA,OMEGA-E015;OMEGA-E016,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/01_DOCUMENTOS/05_TEOREMA_NO_RETORNO.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/01_DOCUMENTOS/05_TEOREMA_NO_RETORNO.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/02_PRUEBAS_NUMERICAS/TEST_01_INCLUSION_ESTRICTA_HISTORIA.csv,data/primary/delivery_17/TEST_01_INCLUSION_ESTRICTA_HISTORIA.csv,code/audited-originals/PY-0031__reproducir_entrega_17.py,results/VEREDICTOS_NORMALIZADOS.csv,,La conclusión depende de aceptar que toda actualización no vacía amplía estrictamente H.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C007,Identidad es una genealogía/estructura de realizaciones y no igualdad de configuración.,DEFINICION_CANONICA_PROVISIONAL,,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/01_AXIOMAS_MINIMOS_PROVISIONALES.md,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md:41-52,sources/primary/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/02_ONTOLOGIA_CANONICA.md,,results/VEREDICTOS_NORMALIZADOS.csv,,Definición ontológica; los modelos físicos asociados permanecen de juguete según la matriz canónica.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C008,La respuesta admite s_e=s_0+delta s_e; el modo común reescala y los relativos deforman proporciones.,DERIVACION_ALGEBRAICA_Y_VERIFICACION_NUMERICA_EN_MODELO,OMEGA-E009,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/02_PRUEBAS_NUMERICAS/TEST_02_MODO_COMUN.csv,data/primary/delivery_14/TEST_02_MODO_COMUN.csv,code/audited-originals/PY-0028__reproducir_entrega_14.py,results/VEREDICTOS_NORMALIZADOS.csv,,La descomposición tiene libertad de referencia; fijar la media requiere una medida primitiva.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C009,El modo común puede interpretarse gravitatoriamente.,APOYO_ESTRUCTURAL_SIN_DERIVACION_FISICA,OMEGA-E009,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/04_DUDAS_ONTOLOGICAS.md,code/audited-originals/PY-0028__reproducir_entrega_14.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,No hay derivación de gravedad física ni comparación observacional directa.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C010,Los modos relativos pueden corresponder a interacciones gauge.,HIPOTESIS_EXPLORATORIA_NO_DERIVADA,OMEGA-E010;OMEGA-E011;OMEGA-E012;OMEGA-E013,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md:3-9,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,code/audited-originals/PY-0024__reproducir_entrega_10.py;code/audited-originals/PY-0028__reproducir_entrega_14.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,El sector abeliano de juguete no está unido al campo universal ni fija el acoplamiento.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C011,Gravedad inercia y dilatación temporal no son idénticas; serían proyecciones distintas de un origen común.,APOYO_ESTRUCTURAL_IDENTIDAD_UNIVERSAL_REFUTADA_EN_MODELO,OMEGA-E002;OMEGA-E003;OMEGA-E004;OMEGA-E005,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/01_NUCLEO_CANONICO/04_MATRIZ_ESTADO_CANONICO.csv,data/primary/founding/04_MATRIZ_ESTADO_CANONICO.csv,code/audited-originals/PY-0022__reproducir_entrega_08.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,Los modelos separan proxies; no derivan las magnitudes físicas ni el principio de equivalencia.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C012,La flecha ontológica y la termodinámica son distintas.,IDENTIDAD_REFUTADA_EN_MODELO_SEPARACION_CONDICIONALMENTE_APOYADA,OMEGA-E017;OMEGA-E021,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/03_RESULTADOS_NEGATIVOS.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md:3-31,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,code/audited-originals/PY-0032__reproducir_entrega_18.py;code/audited-originals/PY-0033__reproducir_entrega_19.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,La segunda ley requiere medida reversa soporte mezcla y condición inicial.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C013,S_gen=ln|Pi^-1(M)| cuantifica ocultamiento pero no es monótona para el macroestado presente.,DEFINICION_Y_VERIFICACION_NUMERICA_MONOTONICIDAD_REFUTADA,OMEGA-E017,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/02_PRUEBAS_NUMERICAS/TEST_04_MONOTONIA.csv,data/primary/delivery_18/TEST_04_MONOTONIA.csv,code/audited-originals/PY-0032__reproducir_entrega_18.py,results/VEREDICTOS_NORMALIZADOS.csv,negative-results/NEGATIVOS_Y_LIMITES.csv,Es entropía de ocultamiento del modelo; no queda identificada con entropía termodinámica física.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
OMEGA-C014,C[gamma]=-ln P[gamma] es un costo aditivo adimensional.,DERIVACION_DEFINICIONAL_ADIMENSIONAL,OMEGA-E020,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,sources/primary/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/01_DOCUMENTOS/01_DERIVACION_DESDE_ONTOLOGIA.md,90_FUENTES_INTEGRAS/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/02_PRUEBAS_NUMERICAS/TEST_02_IDENTIDADES_CANONICAS.csv,data/primary/delivery_20/TEST_02_IDENTIDADES_CANONICAS.csv,code/audited-originals/PY-0034__reproducir_entrega_20.py,results/VEREDICTOS_NORMALIZADOS.csv,,La aditividad es interna a la medida de caminos; no lo convierte en energía.,NO_VALIDACION_EXTERNA_DEMUESTRADA_POR_ESTA_AUDITORIA
