property	status_from_current_ontology	reason
relational_continuity	CANONICAL_HYPOTHESIS	Explicit fundamental continuity without finite ontological rupture
orientation_group_structure	PHASE02_CONDITIONAL	Follows if reversible composable local comparisons are represented as transports
continuous_orientation	NOT_DERIVED	Continuity of existence does not force continuous codomain for every relational variable
connected_orientation_space	NOT_DERIVED	No canonical statement excludes disconnected internal sectors
compactness	NOT_DERIVED	No canonical recurrence/boundedness/identification closes the orientation space
periodicity	NOT_DERIVED	No ontological equivalence theta~theta+T has been established
abelianity	NOT_DERIVED	Phase 02 admits non-abelian counterexample S3
dimension_one	NOT_DERIVED	Number of independent relative modes is not fixed
complex_numbers	NOT_DERIVED	No complex amplitude structure has been obtained
U1	NOT_DERIVED	Requires additional structure not supplied by current ontology
interference_rule	NOT_DERIVED	No rule for summing alternatives or assigning probabilities
