verdict_id,package,source_file,claim_or_scenario,original_status,normalized_epistemic_state,reason_or_correction,audit_note
V-0001,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Grupo estándar derivado,refinado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo compatible; requiere separabilidad operacional,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0002,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,"Tres (3,2) forman singlete",fallo útil,REFUTADA_O_NO_APOYADA_EN_MODELO,No hay singlete SU(2) total,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0003,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Orientación causal da masa,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Requiere Phi0,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0004,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Mínimo positivo universal,superado,REVISADA_REEMPLAZADA_O_SUPERADA,No demostrado,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0005,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Hilo fractal basta para 3D,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Falla topología/localidad/propagación,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0006,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Eficiencia selecciona d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Depende del costo,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0007,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Ciclos seleccionan d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo bandas estrechas,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0008,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Canales cuánticos seleccionan d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Favorecen extremos,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0009,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_4_DOCS_31_40__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_31_40.csv,Pauli deriva espacio físico,limitado,LIMITADA_O_CONVENCIONAL,Sólo 3D interna,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
V-0010,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0,90_FUENTES_INTEGRAS/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/05_RESULTADOS_NEGATIVOS_Y_CORRECCIONES/OMEGA_AUDITORIA_FASE_5_DOCS_41_50__RESULTADOS_SUPERADOS_CORREGIDOS_DOCS_41_50.csv,Cierre de ciclos selecciona d=3,superado,REVISADA_REEMPLAZADA_O_SUPERADA,Sólo impone integrabilidad y conserva el rango construido,NORMALIZACION_DE_ETIQUETA; CONSERVA_TEXTO_ORIGINAL
